,congress,chamber,result,description,vote_result_category,democratic_yes,democratic_no,democratic_present,democratic_not_voting,democratic_majority_position,republican_yes,republican_no,republican_present,republican_not_voting,republican_majority_position,independent_yes,independent_no,independent_present,independent_not_voting,total_yes,total_no,total_present,total_not_voting,pass
3919,112,Senate,Nomination Confirmed,"Stephanie Dawn Thacker, of West Virginia, to be United States Circuit Judge for the Fourth Circuit",pass,49,0,0,2,Yes,41,3,0,3,Yes,1,0,0,1,91,3,0,6,pass
3920,112,Senate,Bill Defeated,"A bill to amend the Higher Education Act of 1965 to extend the reduced interest rate for Federal Direct Stafford Loans, and for other purposes.",not pass,49,1,0,1,Yes,0,42,1,4,No,2,0,0,0,51,43,1,5,not pass
3921,112,Senate,Amendment Rejected,In the nature of a substitute.,not pass,0,50,0,1,No,34,10,1,2,Yes,0,2,0,0,34,62,1,3,not pass
3922,112,Senate,Bill Passed,"A bill to amend the Federal Food, Drug, and Cosmetic Act to revise and extend the user-fee programs for prescription drugs and medical devices, to establish user-fee programs for generic drugs and biosimilars, and for other purposes.",pass,50,0,0,1,Yes,45,0,0,2,Yes,1,1,0,0,96,1,0,3,pass
3923,112,Senate,Motion to Table Agreed to,To require manufacturers of dietary supplements to register dietary supplement products with the Food and Drug Administration.,pass,31,19,0,1,Yes,45,0,0,2,Yes,1,1,0,0,77,20,0,3,pass
3924,112,Senate,Amendment Rejected,"To revoke the exclusivity of certain entities that are responsible for violations of the Federal Food, Drug, and Cosmetic Act, the False Claims Act, and other certain laws.",not pass,7,43,0,1,No,1,44,0,2,No,1,1,0,0,9,88,0,3,not pass
3925,112,Senate,Amendment Rejected,To allow the importation by individuals of safe and affordable drugs from Canada.,not pass,26,24,0,1,Yes,16,29,0,2,No,1,1,0,0,43,54,0,3,not pass
3926,112,Senate,Motion to Table Agreed to,"To amend the Federal Food, Drug, and Cosmetic Act concerning claims about the effects of foods and dietary supplements on health-related conditions and disease, to prohibit employees of the Food and Drug Administration from carrying firearms and making arrests without warrants, and to adjust the mens rea of certain prohibited acts under the Federal Food, Drug, and Cosmetic Act to knowing and willful.",pass,47,0,0,4,Yes,29,15,0,3,Yes,2,0,0,0,78,15,0,7,pass
3927,112,Senate,Amendment Rejected,To prohibit approval by the Food and Drug Administration of genetically engineered fish unless the National Oceanic and Atmospheric Administration concurs with such approval.,not pass,35,15,0,1,Yes,9,35,0,3,No,2,0,0,0,46,50,0,4,not pass
3928,112,Senate,Amendment Rejected,To provide substantial savings in health care costs to the Federal government and consumers by fostering competition among generic pharmaceutical manufacturers and ensuring that anti-competitive 'pay-for-delay' settlements between brand-name and generic pharmaceutical manufacturers do not block generic drugs from entering the market.,not pass,24,25,0,2,None,3,41,0,3,No,1,1,0,0,28,67,0,5,not pass
